signification, significacion
signify
language
dialect
speech, speach, speche
vulgar
common, commen, commenli
local
cant
tongue
pelting
peevish
write, wryte, wrytten, writing, wrytynge, wrytyng, wrytynges
spell, spelling
translate
translation
English, Englyshe
discourse
mean, meane, meanyng
word, worde
